1,北海道,ホッカイドウ,ほっかいどう
2,青森県,アオモリケン,あおもりけん
3,岩手県,イワテケン,いわてけん
4,宮城県,ミヤギケン,みやぎけん
5,秋田県,アキタケン,あきたけん
6,山形県,ヤマガタケン,やまがたけん
7,福島県,フクシマケン,ふくしまけん
8,茨城県,イバラキケン,いばらきけん
9,栃木県,トチギケン,とちぎけん
10,群馬県,グンマケン,ぐんまけん
11,埼玉県,サイタマケン,さいたまけん
12,千葉県,チバケン,ちばけん
13,東京都,トウキョウト,とうきょうと
14,神奈川県,カナガワケン,かながわけん
15,新潟県,ニイガタケン,にいがたけん
16,富山県,トヤマケン,とやまけん
17,石川県,イシカワケン,いしかわけん
18,福井県,フクイケン,ふくいけん
19,山梨県,ヤマナシケン,やまなしけん
20,長野県,ナガノケン,ながのけん
21,岐阜県,ギフケン,ぎふけん
22,静岡県,シズオカケン,しずおかけん
23,愛知県,アイチケン,あいちけん
24,三重県,ミエケン,みえけん
25,滋賀県,シガケン,しがけん
26,京都府,キョウトフ,きょうとふ
27,大阪府,オオサカフ,おおさかふ
28,兵庫県,ヒョウゴケン,ひょうごけん
29,奈良県,ナラケン,ならけん
30,和歌山県,ワカヤマケン,わかやまけん
31,鳥取県,トットリケン,とっとりけん
32,島根県,シマネケン,しまねけん
33,岡山県,オカヤマケン,おかやまけん
34,広島県,ヒロシマケン,ひろしまけん
35,山口県,ヤマグチケン,やまぐちけん
36,徳島県,トクシマケン,とくしまけん
37,香川県,カガワケン,かがわけん
38,愛媛県,エヒメケン,えひめけん
39,高知県,コウチケン,こうちけん
40,福岡県,フクオカケン,ふくおかけん
41,佐賀県,サガケン,さがけん
42,長崎県,ナガサキケン,ながさきけん
43,熊本県,クマモトケン,くまもとけん
44,大分県,オオイタケン,おおいたけん
45,宮崎県,ミヤザキケン,みやざきけん
46,鹿児島県,カゴシマケン,かごしまけん
47,沖縄県,オキナワケン,おきなわけん